nameID,movieID
80,57427
81,48545
81,55614
81,55471
81,57263
82,48960
82,45061
82,3315342
82,119094
84,473444
84,397535
84,101640
84,4566758
85,97738
85,97523
85,113482
85,1825758
86,69747
86,74103
86,79200
86,64425
87,122969
87,5847740
87,7529350
87,80912
88,191104
88,100069
88,68304
88,76551
89,117318
89,75489
89,88529
89,76009
90,765443
90,117631
90,963178
90,139809
91,152930
91,64297
91,282552
91,421974
92,95159
92,71853
92,72500
92,63929
93,137523
93,356910
93,114746
93,1210166
95,75686
95,79522
95,118954
95,91167
96,106179
96,2294189
96,455590
96,442632
97,31193791
97,96542
97,18376122
97,101120
98,108778
98,3442006
98,1723121
98,279113
99,108399
99,1065073
99,412175
99,145531
100,274166
100,1634122
100,118689
100,110357
101,87332
101,118747
101,102558
101,80455
102,87277
102,361127
102,164052
102,327056
103,115963
103,181875
103,89908
103,120586
104,120746
104,1189073
104,120657
104,112851
105,82340
105,80749
105,90685
105,83767
106,160127
106,151738
106,343660
106,120631
107,119488
107,96895
107,337921
107,108525
108,119116
108,2872732
108,110413
108,100263
109,131857
109,337851
109,96542
109,115285
110,97499
110,116477
110,107616
110,3402236
111,395251
111,86567
111,91042
111,115798
112,795421
112,143145
112,155267
112,120347
113,1041829
113,212346
113,1454468
113,111257
114,116282
114,162346
114,105236
114,4686844
115,119094
115,113627
115,117500
115,435705
116,499549
116,1630029
116,90605
116,103064
117,117571
117,120082
117,134084
117,120890
118,80749
118,77651
118,69945
118,82340
120,109040
120,338013
120,315327
120,115798
121,83929
121,101775
121,87363
121,86143
122,32553
122,27977
122,21749
122,44837
123,465538
123,1193138
123,1124035
123,116367
124,268978
124,315983
124,286716
124,180093
125,117500
125,55928
125,94226
125,91605
126,119925
126,99348
126,102798
126,103855
127,87800
127,117571
127,111686
127,105121
128,1707386
128,172495
128,268978
128,119488
129,92099
129,181689
129,117060
129,116695
130,111503
130,1502407
130,6710474
130,77651
131,119229
131,146882
131,98258
131,450385
132,108872
132,1796960
132,117509
132,274558
133,103074
133,116908
133,104694
133,91064
134,101540
134,81398
134,1302006
134,75314
135,120591
135,76489
135,4649466
135,299328
136,408236
136,325980
136,449088
136,383574
137,86987
137,99656
137,114694
137,83170
138,1375666
138,407887
138,120338
138,993846
139,259711
139,129387
139,160127
139,119738
140,94291
140,1291580
140,93010
140,88011
141,106179
141,120902
141,904208
141,443701
142,405159
142,1205489
142,186566
142,105695
143,105690
143,83866
143,94761
143,106400
144,387564
144,93779
144,107977
144,119468
145,105046
145,100935
145,98936
145,106471
146,387131
146,2278388
146,108052
146,20215234
147,1315981
147,1504320
147,243155
147,2802144
148,82971
148,76759
148,106977
148,90329
149,102926
149,75314
149,476964
149,94608
150,88763
150,96874
150,115369
150,116365
151,114369
151,97239
151,405159
151,468569
152,299658
152,100405
152,84434
152,119395
153,115736
153,1726669
153,114436
153,431308
154,112573
154,118883
154,104714
154,117438
155,99653
155,105417
155,88939
155,108147
156,107290
156,91064
156,2278388
156,116629
157,103064
157,6450804
157,88247
157,118928
158,162222
158,94737
158,109830
158,107818
159,120347
159,410975
159,106057
159,327597
160,139654
160,112471
160,2209418
160,381681
161,120679
161,112851
161,120891
161,120655
162,120828
162,119008
162,120885
162,120461
163,84805
163,95953
163,64665
