movieID,genreID
7674444,2
7674530,1
7674532,13
7675140,1
7675222,1
7675276,1
7675296,1
7675324,1
7675356,1
7675388,1
7675404,19
7675404,3
7675422,6
7675422,1
7675422,5
7675426,1
7675428,2
7675430,1
7675440,6
7675596,1
7675602,1
7675634,1
7675790,1
7675826,2
7675846,2
7676066,6
7676138,2
7676212,6
7676212,1
7676212,5
7676320,5
7676320,12
7676610,2
7676816,1
7676816,20
7676816,5
7676920,2
7676968,2
7676992,11
7676992,1
7676992,20
7677002,2
7677060,6
7677060,1
7677060,4
7677094,1
7677142,2
7677184,2
7677228,6
7677228,13
7677248,2
7677312,1
7677370,7
7677420,6
7677420,15
7677542,15
7678054,1
7678054,5
7678148,15
7678218,1
7678300,14
7678374,7
7678374,4
7678374,8
7678408,2
7678408,3
7678456,14
7678456,6
7678456,2
7678460,1
7678472,2
7678486,1
7678492,6
7678492,5
7678516,8
7678516,15
7678522,1
7678704,6
7678756,5
7678770,2
7679118,1
7679126,6
7679126,4
7679142,1
7679186,1
7679190,10
7679190,1
7679190,19
7679200,1
7679284,14
7679284,2
7679306,2
7679322,14
7679334,15
7679334,13
7679334,12
7679414,6
7679414,1
7679414,17
7679474,1
7679672,1
7679696,2
7679754,1
7679852,5
7679884,1
7680068,1
7680260,1
7680392,7
7680644,6
7680644,8
7680690,6
7680690,15
7680690,13
7680734,1
7680796,4
7681112,2
7681112,19
7681130,2
7681130,3
7681144,2
7681170,1
7681186,15
7681186,12
7681400,14
7681400,2
7681400,19
7681422,2
7681446,12
7681468,11
7681470,15
7681486,6
7681514,11
7681554,5
7681554,12
7681554,18
7681562,2
7681594,10
7681594,5
7681648,2
7681764,2
7681824,1
7681868,7
7681868,6
7681868,2
7681902,14
7681902,2
7681902,19
7681970,2
7681998,1
7681998,5
7682016,2
7682048,6
7682048,1
7682170,2
7682202,12
7682204,10
7682204,1
7682204,13
7682214,2
7682260,2
7682308,1
7682308,12
7682382,6
7682382,1
7682382,5
7682430,14
7682430,2
7682430,17
7682468,2
7682596,2
7682700,13
7682702,12
7682908,6
7682908,1
7683148,2
7683166,2
7683198,1
7683216,9
7683232,2
7683264,1
7683274,2
7683326,6
7683350,2
7683444,1
7683462,15
7683516,1
7683668,5
7683672,11
7683692,17
7683696,1
7683710,2
7683720,1
7683724,2
7683724,17
7683726,6
7683726,1
7683842,2
7683856,6
7683856,5
7683892,21
7683896,10
7683896,11
7683934,1
7683940,2
7683940,17
7683950,2
7683976,2
7683990,11
7683990,1
7684002,1
7684226,1
7684228,1
7684228,5
7684256,1
7684350,1
7684402,10
7684402,1
7684416,6
7684416,1
7684416,5
7684422,1
7684424,2
7684458,1
7684548,1
7684548,4
7684630,2
7684708,2
7684748,6
7684792,1
7684822,9
7684822,12
7684904,2
7685038,2
7685466,2
7685486,5
7685506,2
7685600,6
7685600,1
7685600,12
7685716,2
7685736,2
7685784,2
7685784,3
7685786,2
7685868,2
7685882,2
7685942,2
7685962,13
7685964,2
7686010,2
7686108,1
7686162,6
7686226,14
7686226,2
7686268,1
7686314,1
7686376,6
7686376,1
7686376,5
7686386,9
7686386,13
7686414,1
7686448,2
7686448,17
7686542,2
7686632,1
7686670,1
7686874,15
7686876,6
7686876,5
7686896,2
7686906,6
7686970,10
7686970,16
7686970,12
7687134,1
7687134,17
7687134,5
